name,department,dept_name,state,EOW,cause,location,year
Police Officer Sonny Lee Kim,"Cincinnati Police Department, OH",Cincinnati Police Department,OH,2015-06-19,Cause of Death: Gunfire,NA,2015
Police Officer Rick Lee Silva,"Chehalis Police Department, WA",Chehalis Police Department,WA,2015-06-18,Cause of Death: Assault,NA,2015
Police Officer James A. Betso,"New York City Police Department, NY",New York City Police Department,NY,2015-06-17,Cause of Death: 9/11 related illness,NA,2015
Sheriff Ladson Lamar O'Connor,"Montgomery County Sheriff's Office, GA",Montgomery County Sheriff's Office,GA,2015-06-16,Cause of Death: Vehicle pursuit,NA,2015
"Deputy U.S. Marshal Zacarias Toro, Jr.","United States Department of Justice - United States Marshals Service, US",United States Department of Justice - United States Marshals Service,US,2015-06-14,Cause of Death: 9/11 related illness,Location: New York,2015
Detective Leroy Dixon,"New York City Police Department, NY",New York City Police Department,NY,2015-06-14,Cause of Death: 9/11 related illness,NA,2015
"Police Officer Walter John DeWitt, III","Philadelphia Police Department, PA",Philadelphia Police Department,PA,2015-06-05,Cause of Death: Training accident,NA,2015
Detective Michael Kenneth Davis,"New York City Police Department, NY",New York City Police Department,NY,2015-06-01,Cause of Death: 9/11 related illness,NA,2015
Sergeant Charles R. Gunzelman,"New York City Police Department, NY",New York City Police Department,NY,2015-05-31,Cause of Death: 9/11 related illness,NA,2015
Trooper Anthony A. Raspa,"New Jersey State Police, NJ",New Jersey State Police,NJ,2015-05-30,Cause of Death: Automobile crash,NA,2015
Detective Touré Nkrumah Heywood,"Georgia State University Police Department, GA",Georgia State University Police Department,GA,2015-05-28,Cause of Death: Vehicular assault,NA,2015
Sergeant Iris Janett Smith,"Mississippi Department of Corrections, MS",Mississippi Department of Corrections,MS,2015-05-25,Cause of Death: Automobile crash,NA,2015
"Police Officer Gregg Anthony ""Nigel"" Benner","Rio Rancho Police Department, NM",Rio Rancho Police Department,NM,2015-05-25,Cause of Death: Gunfire,NA,2015
"Patrolman James Arthur Bennett, Jr.","Housing Authority of New Orleans Police Department, LA",Housing Authority of New Orleans Police Department,LA,2015-05-24,Cause of Death: Gunfire,NA,2015
Trooper Taylor Joseph Thyfault,"Colorado State Patrol, CO",Colorado State Patrol,CO,2015-05-23,Cause of Death: Vehicular assault,NA,2015
Inspector Robert James Bowling,"North Carolina Division of Motor Vehicles License and Theft Bureau, NC",North Carolina Division of Motor Vehicles License and Theft Bureau,NC,2015-05-21,Cause of Death: Automobile crash,NA,2015
Deputy Sheriff Michael Alan Brandle,"Jefferson County Sheriff's Office, OH",Jefferson County Sheriff's Office,OH,2015-05-21,Cause of Death: Heart attack,NA,2015
Detective Kerrie Sue Orozco,"Omaha Police Department, NE",Omaha Police Department,NE,2015-05-20,Cause of Death: Gunfire,NA,2015
Marshal Kevin M. Dziejma,"Miramiguoa Police Department, MO",Miramiguoa Police Department,MO,2015-05-18,Cause of Death: Heart attack,NA,2015
Police Officer Richard K. Martin,"Houston Police Department, TX",Houston Police Department,TX,2015-05-18,Cause of Death: Vehicular assault,NA,2015
Auxiliary Deputy Sonny Allan Smith,"Johnson County Sheriff's Office, AR",Johnson County Sheriff's Office,AR,2015-05-15,Cause of Death: Gunfire,NA,2015
Police Officer Demetrias Hopkins,"New York City Police Department, NY",New York City Police Department,NY,2015-05-11,Cause of Death: 9/11 related illness,NA,2015
Patrolman Justin Levi Rouse,"Boston Police Department, GA",Boston Police Department,GA,2015-05-09,Cause of Death: Motorcycle crash,NA,2015
Patrolman Liquori Terja Tate,"Hattiesburg Police Department, MS",Hattiesburg Police Department,MS,2015-05-09,Cause of Death: Gunfire,NA,2015
Patrolman Benjamin Joseph Deen,"Hattiesburg Police Department, MS",Hattiesburg Police Department,MS,2015-05-09,Cause of Death: Gunfire,NA,2015
Detective Stuart F. Fishkin,"New York City Police Department, NY",New York City Police Department,NY,2015-05-08,Cause of Death: 9/11 related illness,NA,2015
Sergeant Gregory King Moore,"Coeur d'Alene Police Department, ID",Coeur d'Alene Police Department,ID,2015-05-05,Cause of Death: Gunfire,NA,2015
Lieutenant Eric Alan Eslary,"Ligonier Township Police Department, PA",Ligonier Township Police Department,PA,2015-05-05,Cause of Death: Automobile crash,NA,2015
Detective Paul John Koropal,"Allegheny County District Attorney's Office - Investigative Division, PA",Allegheny County District Attorney's Office - Investigative Division,PA,2015-05-05,Cause of Death: Heart attack,NA,2015
Detective Brian Raymond Moore,"New York City Police Department, NY",New York City Police Department,NY,2015-05-04,Cause of Death: Gunfire,NA,2015
Deputy Sheriff Gil C. Datan,"Coos County Sheriff's Office, OR",Coos County Sheriff's Office,OR,2015-04-20,Cause of Death: Accidental,NA,2015
Corporal Scott R. Thompson,"Manchester Township Police Department, NJ",Manchester Township Police Department,NJ,2015-04-10,Cause of Death: Heart attack,NA,2015
"Police Officer Juandre Devon Gilliam, Sr","Jeanerette Police Department, LA",Jeanerette Police Department,LA,2015-04-08,Cause of Death: Vehicle pursuit,NA,2015
Police Officer Jared J. Forsyth,"Ocala Police Department, FL",Ocala Police Department,FL,2015-04-06,Cause of Death: Gunfire (Inadvertent),NA,2015
Police Officer David Lee Colley,"Montgomery Police Department, AL",Montgomery Police Department,AL,2015-04-04,Cause of Death: Automobile crash,NA,2015
Police Officer Michael Jeremiah Johnson,"San Jose Police Department, CA",San Jose Police Department,CA,2015-03-24,Cause of Death: Gunfire,NA,2015
Trooper Trevor John Casper,"Wisconsin State Patrol, WI",Wisconsin State Patrol,WI,2015-03-24,Cause of Death: Gunfire,NA,2015
Senior Police Officer Alex K. Yazzie,"Navajo Division of Public Safety, TR",Navajo Division of Public Safety,TR,2015-03-19,Cause of Death: Gunfire,Location: Arizona,2015
Patrolman Adrian Arellano,"El Paso Police Department, TX",El Paso Police Department,TX,2015-03-18,Cause of Death: Motorcycle crash,NA,2015
Lieutenant Richard Glenn Woods,"Pell City Police Department, AL",Pell City Police Department,AL,2015-03-17,Cause of Death: Heart attack,NA,2015
Police Officer Darryl Deon Wallace,"Clayton County Police Department, GA",Clayton County Police Department,GA,2015-03-15,Cause of Death: Automobile crash,NA,2015
"Trooper Donald R. Fredenburg, Jr.","New York State Police, NY",New York State Police,NY,2015-03-13,Cause of Death: Heart attack,NA,2015
Patrolman George S. Nissen,"Stone Park Police Department, IL",Stone Park Police Department,IL,2015-03-12,Cause of Death: Assault,NA,2015
Police Officer Burke Jevon Rhoads,"Nicholasville Police Department, KY",Nicholasville Police Department,KY,2015-03-11,Cause of Death: Automobile crash,NA,2015
Deputy U.S. Marshal Josie Lamar Wells,"United States Department of Justice - United States Marshals Service, US",United States Department of Justice - United States Marshals Service,US,2015-03-10,Cause of Death: Gunfire,Location: Louisiana,2015
Deputy Sheriff Johnny Edward Gatson,"Warren County Sheriff's Office, MS",Warren County Sheriff's Office,MS,2015-03-10,Cause of Death: Automobile crash,NA,2015
Police Officer Brennan Roger Rabain,"Prince George's County Police Department, MD",Prince George's County Police Department,MD,2015-03-07,Cause of Death: Automobile crash,NA,2015
Lieutenant Clifford Scott Travis,"Bullitt County Detention Center, KY",Bullitt County Detention Center,KY,2015-03-05,Cause of Death: Heart attack,NA,2015
"Sergeant Robert Francis Wilson, III","Philadelphia Police Department, PA",Philadelphia Police Department,PA,2015-03-05,Cause of Death: Gunfire,NA,2015
Detective Terence Avery Green,"Fulton County Police Department, GA",Fulton County Police Department,GA,2015-03-04,Cause of Death: Gunfire,NA,2015
Special Agent William C. Sheldon,"United States Department of Justice - Bureau of Alcohol, Tobacco, Firearms and Explosives, US",United States Department of Justice - Bureau of Alcohol,Tobacco,2015-03-02,Cause of Death: 9/11 related illness,Location: New York,2015
Captain Neville Stanley Kealii Colburn,"Honolulu Police Department, HI",Honolulu Police Department,HI,2015-02-23,Cause of Death: Heart attack,NA,2015
"Police Officer III Siegfred D. R. ""Dove"" Mortera","Guam Police Department, GU",Guam Police Department,GU,2015-02-14,Cause of Death: Heart attack,NA,2015
Police Officer Peter D. Ciaccio,"New York City Police Department, NY",New York City Police Department,NY,2015-02-12,Cause of Death: 9/11 related illness,NA,2015
Trooper Nicholas Glenn Dees,"Oklahoma Highway Patrol, OK",Oklahoma Highway Patrol,OK,2015-01-31,Cause of Death: Struck by vehicle,NA,2015
Detective Michael Lynn Starrett,"Jacksboro Police Department, TN",Jacksboro Police Department,TN,2015-01-30,Cause of Death: Automobile crash,NA,2015
Patrolman Roger Monroe Odell,"Town Creek Police Department, AL",Town Creek Police Department,AL,2015-01-28,Cause of Death: Heart attack,NA,2015
Deputy Sheriff Rodney Condall,"Orleans Parish Sheriff's Office, LA",Orleans Parish Sheriff's Office,LA,2015-01-28,Cause of Death: Heart attack,NA,2015
Sergeant Charles Kerry Mitchum,"Loxley Police Department, AL",Loxley Police Department,AL,2015-01-26,Cause of Death: Automobile crash,NA,2015
Director of Investigations John Ballard Gorman,"Mississippi Gaming Commission, MS",Mississippi Gaming Commission,MS,2015-01-21,Cause of Death: Gunfire (Inadvertent),NA,2015
Detective I John Scott Stevens,"Ocean County Prosecutor's Office, NJ",Ocean County Prosecutor's Office,NJ,2015-01-21,Cause of Death: Automobile crash,NA,2015
Deputy Chief Steven Joseph Bonano,"New York City Police Department, NY",New York City Police Department,NY,2015-01-17,Cause of Death: 9/11 related illness,NA,2015
Corrections Officer V Christopher A. Davis,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas Department of Criminal Justice - Correctional Institutions Division,TX,2015-01-14,Cause of Death: Automobile crash,NA,2015
"Corrections Officer V Eligio Ruiz Garcia, Jr.","Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas Department of Criminal Justice - Correctional Institutions Division,TX,2015-01-14,Cause of Death: Automobile crash,NA,2015
Police Officer Craig Anthony Chandler,"Baltimore City Police Department, MD",Baltimore City Police Department,MD,2015-01-09,Cause of Death: Vehicle pursuit,NA,2015
Sergeant Sean Patrick Renfro,"Jefferson County Sheriff's Office, CO",Jefferson County Sheriff's Office,CO,2015-01-03,Cause of Death: Struck by vehicle,NA,2015
Police Officer Ronald Eugene Strittmatter,"Lakeshire Police Department, MO",Lakeshire Police Department,MO,2015-01-03,Cause of Death: Heart attack,NA,2015
Police Officer Otto R. Espinoza,"New York City Police Department, NY",New York City Police Department,NY,2015-01-03,Cause of Death: 9/11 related illness,NA,2015
Trooper Landon Eugene Weaver,"Pennsylvania State Police, PA",Pennsylvania State Police,PA,2016-12-30,Cause of Death: Gunfire,NA,2016
Lieutenant William George Fearon,"New Jersey State Police, NJ",New Jersey State Police,NJ,2016-12-28,Cause of Death: 9/11 related illness,Location: New York,2016
Corrections Officer Lisa Anne Mauldin,"Miller County Sheriff's Office, AR",Miller County Sheriff's Office,AR,2016-12-18,Cause of Death: Assault,NA,2016
Public Safety Officer Jody Carl Smith,"Georgia Southwestern State University Department of Public Safety, GA",Georgia Southwestern State University Department of Public Safety,GA,2016-12-08,Cause of Death: Gunfire,NA,2016
Police Officer Nicholas Ryan Smarr,"Americus Police Department, GA",Americus Police Department,GA,2016-12-07,Cause of Death: Gunfire,NA,2016
Deputy Sheriff Ryan Sean Thomas,"Valencia County Sheriff's Office, NM",Valencia County Sheriff's Office,NM,2016-12-06,Cause of Death: Automobile crash,NA,2016
Trooper Frankie Lamar Williams,"New Jersey State Police, NJ",New Jersey State Police,NJ,2016-12-05,Cause of Death: Automobile crash,NA,2016
Police Officer R. Jake Gutierrez,"Tacoma Police Department, WA",Tacoma Police Department,WA,2016-11-30,Cause of Death: Gunfire,NA,2016
Trooper Cody James Donahue,"Colorado State Patrol, CO",Colorado State Patrol,CO,2016-11-25,Cause of Death: Struck by vehicle,NA,2016
Sergeant Collin James Rose,"Wayne State University Police Department, MI",Wayne State University Police Department,MI,2016-11-23,Cause of Death: Gunfire,NA,2016
Deputy Sheriff Eric James Oliver,"Nassau County Sheriff's Office, FL",Nassau County Sheriff's Office,FL,2016-11-22,Cause of Death: Struck by vehicle,NA,2016
Trooper Eric Dale Ellsworth,"Utah Highway Patrol, UT",Utah Highway Patrol,UT,2016-11-22,Cause of Death: Struck by vehicle,NA,2016
Detective Benjamin Edward Marconi,"San Antonio Police Department, TX",San Antonio Police Department,TX,2016-11-20,Cause of Death: Gunfire,NA,2016
Deputy Commander Patrick Thomas Carothers,"United States Department of Justice - United States Marshals Service, US",United States Department of Justice - United States Marshals Service,US,2016-11-18,Cause of Death: Gunfire,Location: Georgia,2016
Border Patrol Agent David Gomez,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol,US,2016-11-16,Cause of Death: Heart attack,Location: Texas,2016
Assistant Commander Kenneth Joseph Starrs,"South Texas Specialized Crimes and Narcotics Task Force, TX",South Texas Specialized Crimes and Narcotics Task Force,TX,2016-11-16,Cause of Death: Struck by train,NA,2016
Deputy Sheriff Justin Scott White,"Newton County Sheriff's Office, GA",Newton County Sheriff's Office,GA,2016-11-15,Cause of Death: Automobile crash,NA,2016
Detective Sergeant Christopher M. Gardner,"University of Maine Police Department, ME",University of Maine Police Department,ME,2016-11-15,Cause of Death: Training accident,NA,2016
Deputy Sheriff Dennis Randall Wallace,"Stanislaus County Sheriff's Department, CA",Stanislaus County Sheriff's Department,CA,2016-11-13,Cause of Death: Gunfire,NA,2016
Patrolman Scott Leslie Bashioum,"Canonsburg Borough Police Department, PA",Canonsburg Borough Police Department,PA,2016-11-10,Cause of Death: Gunfire,NA,2016
Police Officer Darrin Lee Reed,"Show Low Police Department, AZ",Show Low Police Department,AZ,2016-11-08,Cause of Death: Gunfire,NA,2016
Deputy Sheriff Daryl Wayne Smallwood,"Peach County Sheriff's Office, GA",Peach County Sheriff's Office,GA,2016-11-08,Cause of Death: Gunfire,NA,2016
Police Officer I Jude Williams Lewis,"New Orleans Police Department, LA",New Orleans Police Department,LA,2016-11-08,Cause of Death: Automobile crash,NA,2016
Sergeant Patrick Michael Sondron,"Peach County Sheriff's Office, GA",Peach County Sheriff's Office,GA,2016-11-06,Cause of Death: Gunfire,NA,2016
Police Officer Cody James Brotherson,"West Valley City Police Department, UT",West Valley City Police Department,UT,2016-11-06,Cause of Death: Vehicular assault,NA,2016
Sergeant Paul J. Tuozzolo,"New York City Police Department, NY",New York City Police Department,NY,2016-11-04,Cause of Death: Gunfire,NA,2016
Patrolman Justin Scott Martin,"Urbandale Police Department, IA",Urbandale Police Department,IA,2016-11-02,Cause of Death: Gunfire,NA,2016
Sergeant Anthony David Beminio,"Des Moines Police Department, IA",Des Moines Police Department,IA,2016-11-02,Cause of Death: Gunfire,NA,2016
Major Jorge Sanchez,"Miami Police Department, FL",Miami Police Department,FL,2016-11-01,Cause of Death: Motorcycle crash,NA,2016
Sergeant Rod Barron Lucas,"Fresno County Sheriff's Office, CA",Fresno County Sheriff's Office,CA,2016-10-31,Cause of Death: Gunfire (Inadvertent),NA,2016
Deputy Sheriff Michael Scott Williams,"Taylor County Sheriff's Office, FL",Taylor County Sheriff's Office,FL,2016-10-31,Cause of Death: Automobile crash,NA,2016
"Deputy Sheriff Robert Bowlin, Sr.","Sullivan County Sheriff's Office, TN",Sullivan County Sheriff's Office,TN,2016-10-31,Cause of Death: Struck by vehicle,NA,2016
"Deputy Sheriff Dan Thomas Glaze, Jr.","Rusk County Sheriff's Office, WI",Rusk County Sheriff's Office,WI,2016-10-29,Cause of Death: Gunfire,NA,2016
Sergeant Allen David Brandt,"Fairbanks Police Department, AK",Fairbanks Police Department,AK,2016-10-28,Cause of Death: Gunfire,NA,2016
Police Officer James Irwin Brockmeyer,"Chester Police Department, IL",Chester Police Department,IL,2016-10-28,Cause of Death: Vehicle pursuit,NA,2016
Police Officer Myron Anthony Jarrett,"Detroit Police Department, MI",Detroit Police Department,MI,2016-10-28,Cause of Death: Vehicular assault,NA,2016
Trooper Timothy P. Pratt,"New York State Police, NY",New York State Police,NY,2016-10-26,Cause of Death: Struck by vehicle,NA,2016
Police Officer William J. King,"New York City Police Department, NY",New York City Police Department,NY,2016-10-25,Cause of Death: 9/11 related illness,NA,2016
Sergeant Alfonso Lopez,"Los Angeles County Sheriff's Department, CA",Los Angeles County Sheriff's Department,CA,2016-10-24,Cause of Death: Heart attack,NA,2016
Detective I Gerard A. Ahearn,"New York City Police Department, NY",New York City Police Department,NY,2016-10-24,Cause of Death: 9/11 related illness,NA,2016
Deputy Sheriff Edward Jason Wright,"Logan County Sheriff's Office, OK",Logan County Sheriff's Office,OK,2016-10-23,Cause of Death: Heart attack,NA,2016
"Captain Thomas Doyle Ray, Jr.","Orange County Sheriff's Office, TX",Orange County Sheriff's Office,TX,2016-10-23,Cause of Death: Heart attack,NA,2016
Police Officer Yolanda Cawley,"New York City Police Department, NY",New York City Police Department,NY,2016-10-22,Cause of Death: 9/11 related illness,NA,2016
Deputy Sheriff Jack Lanceson Hopkins,"Modoc County Sheriff's Office, CA",Modoc County Sheriff's Office,CA,2016-10-19,Cause of Death: Gunfire,NA,2016
Patrolman Aaron Jackson Christian,"Chesapeake Police Department, OH",Chesapeake Police Department,OH,2016-10-18,Cause of Death: Automobile crash,NA,2016
Detective Dennis J. Vickery,"New York City Police Department, NY",New York City Police Department,NY,2016-10-13,Cause of Death: 9/11 related illness,NA,2016
Patrolman Shawn Delbert Rager,"Johnstown Police Department, PA",Johnstown Police Department,PA,2016-10-13,Cause of Death: Heart attack,NA,2016
Sergeant Luis A. Meléndez-Maldonado,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2016-10-12,Cause of Death: Gunfire,NA,2016
Police Officer Lesley Marie Zerebny,"Palm Springs Police Department, CA",Palm Springs Police Department,CA,2016-10-08,Cause of Death: Gunfire,NA,2016
Police Officer Jose Gilbert Vega,"Palm Springs Police Department, CA",Palm Springs Police Department,CA,2016-10-08,Cause of Death: Gunfire,NA,2016
Special Agent Rex Aaron Stockham,"United States Department of Justice - Federal Bureau of Investigation, US",United States Department of Justice - Federal Bureau of Investigation,US,2016-10-08,Cause of Death: 9/11 related illness,Location: Pennsylvania,2016
Police Officer Blake Curtis Snyder,"St. Louis County Police Department, MO",St. Louis County Police Department,MO,2016-10-06,Cause of Death: Gunfire,NA,2016
Sergeant Steven C. Owen,"Los Angeles County Sheriff's Department, CA",Los Angeles County Sheriff's Department,CA,2016-10-05,Cause of Death: Gunfire,NA,2016
Investigator Paul R. Stuewer,"New York State Police, NY",New York State Police,NY,2016-10-05,Cause of Death: 9/11 related illness,NA,2016
Agent Victor M. Rosado-Rosa,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2016-10-05,Cause of Death: Motorcycle crash,NA,2016
Corporal Robert Eugene Ransom,"Gregg County Sheriff's Office, TX",Gregg County Sheriff's Office,TX,2016-09-30,Cause of Death: Heart attack,NA,2016
Deputy Sheriff John Thomas Isenhour,"Forsyth County Sheriff's Office, NC",Forsyth County Sheriff's Office,NC,2016-09-28,Cause of Death: Struck by vehicle,NA,2016
Corporal Donna Weems LeBlanc,"West Baton Rouge Parish Sheriff's Office, LA",West Baton Rouge Parish Sheriff's Office,LA,2016-09-27,Cause of Death: Gunfire,NA,2016
Corrections Officer I David Michael Weaver,"Pennsylvania Department of Corrections, PA",Pennsylvania Department of Corrections,PA,2016-09-26,Cause of Death: Fall,NA,2016
Agent Edwin R. Pabón-Robles,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2016-09-23,Cause of Death: Automobile crash,NA,2016
"Sergeant Kerry Joseph Winters, Sr.","Ulster County Sheriff's Office, NY",Ulster County Sheriff's Office,NY,2016-09-22,Cause of Death: Drowned,NA,2016
Detective James Thomas Giery,"New York City Police Department, NY",New York City Police Department,NY,2016-09-20,Cause of Death: 9/11 related illness,NA,2016
Sergeant Kenneth Melvin Steil,"Detroit Police Department, MI",Detroit Police Department,MI,2016-09-17,Cause of Death: Gunfire,NA,2016
Correctional Officer Kenneth Levella Bettis,"Alabama Department of Corrections, AL",Alabama Department of Corrections,AL,2016-09-16,Cause of Death: Stabbed,NA,2016
Patrolman Robert Aaron Barker,"McCrory Police Department, AR",McCrory Police Department,AR,2016-09-15,Cause of Death: Automobile crash,NA,2016
Patrol Officer Jason Gallero,"Cook County Sheriff's Police Department, IL",Cook County Sheriff's Police Department,IL,2016-09-15,Cause of Death: Duty related illness,NA,2016
Sergeant Patrick J. Boyle,"New York City Police Department, NY",New York City Police Department,NY,2016-09-15,Cause of Death: 9/11 related illness,NA,2016
Trooper Kenneth V. Velez,"Ohio State Highway Patrol, OH",Ohio State Highway Patrol,OH,2016-09-15,Cause of Death: Struck by vehicle,NA,2016
Police Officer Judy Ann Ghany-Barounis,"New York City Police Department, NY",New York City Police Department,NY,2016-09-13,Cause of Death: 9/11 related illness,NA,2016
K9 Officer Timothy James Brackeen,"Shelby Police Department, NC",Shelby Police Department,NC,2016-09-12,Cause of Death: Gunfire,NA,2016
Master Deputy Sheriff Brandon Scott Collins,"Johnson County Sheriff's Office, KS",Johnson County Sheriff's Office,KS,2016-09-11,Cause of Death: Vehicular assault,NA,2016
"Police Officer Raymond Diaz, Jr.","Philadelphia Police Department, PA",Philadelphia Police Department,PA,2016-09-09,Cause of Death: Automobile crash,NA,2016
Deputy Sheriff Kenneth Hubert Maltby,"Eastland County Sheriff's Office, TX",Eastland County Sheriff's Office,TX,2016-09-07,Cause of Death: Automobile crash,NA,2016
Lieutenant Waldemar Rivera-Santiago,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2016-09-05,Cause of Death: Motorcycle crash,NA,2016
Senior Police Officer Amir Abdul-Khaliq,"Austin Police Department, TX",Austin Police Department,TX,2016-09-04,Cause of Death: Motorcycle crash,NA,2016
Police Officer Clint E. Corvinus,"Alamogordo Police Department, NM",Alamogordo Police Department,NM,2016-09-02,Cause of Death: Gunfire,NA,2016
Senior Police Officer LeAnder Frank,"Navajo Division of Public Safety, TR",Navajo Division of Public Safety,TR,2016-08-30,Cause of Death: Automobile crash,Location: Arizona,2016
Police Officer Kenneth Ray Moats,"Maryville Police Department, TN",Maryville Police Department,TN,2016-08-25,Cause of Death: Gunfire,NA,2016
Sergeant Lawrence Michael Craig,"Carteret Police Department, NJ",Carteret Police Department,NJ,2016-08-15,Cause of Death: Heart attack,NA,2016
Police Officer Timothy Kevin Smith,"Eastman Police Department, GA",Eastman Police Department,GA,2016-08-13,Cause of Death: Gunfire,NA,2016
Police Officer Shannon Matthew Brown,"Fenton Police Department, LA",Fenton Police Department,LA,2016-08-13,Cause of Death: Struck by vehicle,NA,2016
Police Officer Jose Ismael Chavez,"Hatch Police Department, NM",Hatch Police Department,NM,2016-08-12,Cause of Death: Gunfire,NA,2016
Border Patrol Agent Manuel Alejandro Alvarez,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US",United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol,US,2016-08-11,Cause of Death: Motorcycle crash,Location: Arizona,2016
Corporal William Pressley Cooper,"Sebastian County Sheriff's Office, AR",Sebastian County Sheriff's Office,AR,2016-08-10,Cause of Death: Gunfire,NA,2016
Special Agent De'Greaun Reshun Frazier,"Tennessee Bureau of Investigation, TN",Tennessee Bureau of Investigation,TN,2016-08-09,Cause of Death: Gunfire,NA,2016
Police Officer Justin Ryan Scherlen,"Amarillo Police Department, TX",Amarillo Police Department,TX,2016-08-04,Cause of Death: Automobile crash,NA,2016
Sergeant Shawn Glenn Miller,"West Des Moines Police Department, IA",West Des Moines Police Department,IA,2016-08-03,Cause of Death: Motorcycle crash,NA,2016
"Police Officer Peter M. Sheridan, Jr.","New York City Police Department, NY",New York City Police Department,NY,2016-07-31,Cause of Death: 9/11 related illness,NA,2016
Police Officer II Jonathan Matias DeGuzman,"San Diego Police Department, CA",San Diego Police Department,CA,2016-07-28,Cause of Death: Gunfire,NA,2016
Police Officer Brian R. Abbondandelo,"Nassau County Police Department, NY",Nassau County Police Department,NY,2016-07-28,Cause of Death: 9/11 related illness,NA,2016
Police Officer Joseph F. Heid,"New York City Police Department, NY",New York City Police Department,NY,2016-07-20,Cause of Death: 9/11 related illness,NA,2016
Captain Robert David Melton,"Kansas City Police Department, KS",Kansas City Police Department,KS,2016-07-19,Cause of Death: Gunfire,NA,2016
Corrections Officer Kristopher David Moules,"Luzerne County Correctional Facility, PA",Luzerne County Correctional Facility,PA,2016-07-18,Cause of Death: Assault,NA,2016
Corporal Montrell Lyle Jackson,"Baton Rouge Police Department, LA",Baton Rouge Police Department,LA,2016-07-17,Cause of Death: Gunfire,NA,2016
"Deputy Sheriff Bradford Allen Garafola, Sr.","East Baton Rouge Parish Sheriff's Office, LA",East Baton Rouge Parish Sheriff's Office,LA,2016-07-17,Cause of Death: Gunfire,NA,2016
Police Officer Matthew Lane Gerald,"Baton Rouge Police Department, LA",Baton Rouge Police Department,LA,2016-07-17,Cause of Death: Gunfire,NA,2016
Police Officer Charles Barzydlo,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2016-07-17,Cause of Death: 9/11 related illness,NA,2016
Corrections Officer IV Mari Anne Johnson,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas Department of Criminal Justice - Correctional Institutions Division,TX,2016-07-16,Cause of Death: Assault,NA,2016
Police Officer Marco Antonio Zarate,"Bellaire Police Department, TX",Bellaire Police Department,TX,2016-07-12,Cause of Death: Vehicle pursuit,NA,2016
Security Supervisor Joseph Peter Zangaro,"Berrien County Trial Court, MI",Berrien County Trial Court,MI,2016-07-11,Cause of Death: Gunfire,NA,2016
Court Officer Ronald Eugene Kienzle,"Berrien County Trial Court, MI",Berrien County Trial Court,MI,2016-07-11,Cause of Death: Gunfire,NA,2016
Detective Thomas P. Ward,"New York City Police Department, NY",New York City Police Department,NY,2016-07-08,Cause of Death: 9/11 related illness,NA,2016
Senior Corporal Lorne Bradley Ahrens,"Dallas Police Department, TX",Dallas Police Department,TX,2016-07-08,Cause of Death: Gunfire,NA,2016
Public Safety Officer Michael Josua Ventura,"Town of Salem Department of Public Safety, WI",Town of Salem Department of Public Safety,WI,2016-07-08,Cause of Death: Automobile crash,NA,2016
Police Officer Michael Leslie Krol,"Dallas Police Department, TX",Dallas Police Department,TX,2016-07-07,Cause of Death: Gunfire,NA,2016
Sergeant Michael Joseph Smith,"Dallas Police Department, TX",Dallas Police Department,TX,2016-07-07,Cause of Death: Gunfire,NA,2016
Police Officer Patricio Enrique Zamarripa,"Dallas Police Department, TX",Dallas Police Department,TX,2016-07-07,Cause of Death: Gunfire,NA,2016
Police Officer Brent Alan Thompson,"Dallas Area Rapid Transit Police Department, TX",Dallas Area Rapid Transit Police Department,TX,2016-07-07,Cause of Death: Gunfire,NA,2016
"Police Officer Calvin Marcus McCullers, Jr.","Southern Methodist University Police Department, TX",Southern Methodist University Police Department,TX,2016-07-05,Cause of Death: Drowned,NA,2016
Deputy Sheriff Paul Allen Clark,"St. Francois County Sheriff's Office, MO",St. Francois County Sheriff's Office,MO,2016-07-04,Cause of Death: Vehicular assault,NA,2016
Sergeant David Kyle Elahi,"Sterlington Police Department, LA",Sterlington Police Department,LA,2016-07-03,Cause of Death: Vehicular assault,NA,2016
Senior Corrections Officer Nikeelan D. Semmon,"New Jersey Department of Corrections, NJ",New Jersey Department of Corrections,NJ,2016-07-01,Cause of Death: Heart attack,NA,2016
"Deputy Sheriff Martin Tase Sturgill, II","Humphreys County Sheriff's Office, TN",Humphreys County Sheriff's Office,TN,2016-06-30,Cause of Death: Heart attack,NA,2016
Sergeant Kevin Dwayne Miller,"Detroit Police Department, MI",Detroit Police Department,MI,2016-06-29,Cause of Death: Heart attack,NA,2016
Sergeant Sean Lewis Allred,"Livingston Police Department, TN",Livingston Police Department,TN,2016-06-23,Cause of Death: Heart attack,NA,2016
